"Fill in your address below, and we'll send out another confirmation email to you. ",""
Internal error,""
Login to Facebook now to link it with your current account!,""
No field contains,""
Previous Page,""
Send a link to reset your password,""
Sign up,""
%1 less than,""
Alert,""
Close window,""
Go for it!,""
Head on back home,""
No value yet,""
"Tell us what's good, what's bad, and what else you want %1 to do!",""
"There's a pretty good chance that error message doesn't mean anything to you, but we'd rather you have a little bit of information about what went wrong than nothing. We've logged this error, so we know we need to write something friendly explaining just what happened and how to fix it.",""
"Welcome, ",""
You have already confirmed your account.,""
You lost your password. A link to reset it will be sent to the following email address:,""
%1 before,""
OpenID verification failed: ,""
Parent,""
Passwords need to be at least six characters long,""
Please email us!,""
Email address,""
The passwords you typed didn't match each other,""
Variables,""
Welcome to your new Jifty application,""
You may have mistyped your email or password. Give it another shot.,""
There was an error completing the request.  Please try again later.,""
"\nYou're getting this message because you (or somebody claiming to be you)\nrequest to reset your password for %1.\n\nIf you don't want to reset your password just ignore this message.\n\nTo reset your password, click on the link below:\n\n%2\n",""
Children,""
Draw halos,""
Go back home...,""
Search,""
Something bad happened and we couldn't create your account: %1,""
Toggle search,""
yatta,""
%1 after,""
Administration,""
It doesn't look like there's an account by that name.,""
Welcome to %1!,""
Logout,""
Try again,""
You need to fill in this field,""
Hi %1!,""
No account yet? It's quick and easy. ,""
Username,""
"Hi, we speak %1.",""
Login!,""
Lost your password?,""
Mason error,""
Nickname,""
That %1 doesn't look like an email address.,""
You're already logged in.,""
"for now, and try to forget that we let you down.",""
%1 line %2,""
How should I display your name to other users?,""
OpenID verification failed.  It looks like you cancelled the OpenID verification request.,""
Permission denied,""
You must be logged in to link your user to your Facebook account.,""
Your browser can remember your login for you,""
%1 greater or equal to,""
. Your email address has now been confirmed.,""
Administration mode is enabled.,""
An error occurred.  Try again later,""
Calendar,""
Login with your OpenID,""
Online docs,""
Something's not quite right,""
The OpenID '$openid' has been linked to your account.,""
You said you wanted a pony. (Source %1),""
(any),""
Any field contains,""
Continue,""
Create of %1 failed: %2,""
Created,""
"Hiya, %1.",""
"It looks like you already have an account. Perhaps you want to <a href=\""/login\"">log in</a> instead?",""
"Sorry, something weird happened (we couldn't create a user for you).  Try again later.",""
"You got to a page that we don't think exists.  Anyway, the software has logged this error. Sorry about this.",""
You're not currently signed in.,""
" id is 'facebook_login' };\n        span { _(\""Login to Facebook now to get started!\"") };\n        a {{ href is $plugin->get_login_url };\n            img {{ src is 'http://static.ak.facebook.com/images/devsite/facebook_login.gif', border is '0' ",""
Email address confirmed?,""
It looks like somebody else is using that address. Is there a chance you have another account?,""
Remember me?,""
We've sent a confirmation message to your email box.,""
"Welcome back, %1.",""
"Anyway, the software has logged this error.",""
"For one reason or another, you got to a web page that caused a bit of an error. And then you got to our 'basic' error handler. Which means we haven't written a pretty, easy to understand error message for you just yet. The message we do have is :",""
Welcome %1 to the %2,""
Sign up for an account!,""
You already logged in.,""
You don't exist.,""
\nYou're getting this message because you (or somebody claiming to be you)\nwants to use %1. \n\nWe need to make sure that we got your email address right.  Click on the link below to get started:\n\n%2\n,""
Save,""
Something went awry,""
Sorry about this.,""
That doesn't look like a correct value,""
That doesn't look like an email address.,""
!=>< allowed,""
%1 <%2>,""
"Foo cannot contain -, *, +, or ?.",""
Loading...,""
Rendered in %1s,""
Your account has been successfully linked to your Facebook user %1!,""
- none -,""
Login with a password,""
No request to handle,""
Password,""
Send us feedback!,""
" id is 'facebook_link' };\n        span { _(\""Login to Facebook now to link it with your current account!\"") };\n        a {{ href is $plugin->get_link_url };\n            img {{ src is 'http://static.ak.facebook.com/images/devsite/facebook_login.gif', border is '0' ",""
%1 less or equal to,""
%1 until,""
A link to reset your password has been sent to your email account.,""
Authentication token,""
Foo cannot contain uppercase letters.,""
Foo values are always in lowercase.,""
"Welcome to %1, %2.",""
no value,""
%1 seconds,""
"Hello, %1!",""
Page info,""
Start,""
Cancel,""
We need you to set a username or quickly check the one associated with your OpenID. Your username is what other people will see when you ask questions or make suggestions,""
Your password should be at least six characters,""
type your password again,""
%1 contains,""
Deleted,""
It looks like someone is already using that OpenID.,""
Reset lost password,""
%1 since,""
Edit,""
Email,""
No items found.,""
"That doesn't look right, but I don't know why",""
%1 is not,""
Create,""
W00t,""
"",Project-Id-Version: PACKAGE VERSION\nPOT-Creation-Date: YEAR-MO-DA HO:MI+ZONE\nPO-Revision-Date: YEAR-MO-DA HO:MI+ZONE\nLast-Translator: FULL NAME <EMAIL@ADDRESS>\nLanguage-Team: LANGUAGE <LL@li.org>\nMIME-Version: 1.0\nContent-Type: text/plain; charset=UTF-8\nContent-Transfer-Encoding: 8bit\n
Bindings,""
Delete,""
Hashed Password,""
Home,""
"If you have a Livejournal or other OpenID account, you don't even need to sign up. Just log in.",""
Page %1 of %2,""
Confirmation resent.,""
I changed $field for you,""
Really delete?,""
"Really, really sorry.",""
Send,""
There was an error setting your password.,""
"Try again later. We're really, really sorry.",""
Type that again?,""
"Welcome back, ",""
You got to a page that we don't think exists.,""
A notification from %1!,""
It looks like you didn't enter the same password into both boxes. Give it another shot?,""
warning,""
I'm not sure how this happened.,""
Language,""
Login to Facebook now to get started!,""
New password,""
OpenID URL,""
Updated,""
You haven't confirmed your account yet.,""
%1 lacks,""
"If the username provided conflicts with an existing username or contains invalid characters, you will have to give us a new one.",""
email address,""
%1 greater than,""
Invalid OpenID URL.  Please check to make sure it is correct.  (@{[$csr->err]}),""
It looks like you're already confirmed.,""
Login,""
Next Page,""
SQL Statements,""
Your password has been reset.  Welcome back.,""
